id_mencao,id_participante,nome_usuario,rede_social,segmento_mencionado,dia_festival,tema_conteudo,conteudo_post,sentimento_calculado,polaridade_calculada
35,8133,user8133,Twitter,Bebida Alcoólica,Música Brasileira,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 8 minutos pra nada. 😡 #Fail,Negativo,"-0,9817838641"
36,7411,user7411,Twitter,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
37,2301,user2301,Instagram,Bebida Alcoólica,Eletrônico,neutro,Alguém sabe o que tá rolando na ativação de Bebida Alcoólica?,Neutro,"-0,03725210205"
38,7119,user7119,Instagram,Bebida Alcoólica,Rock,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
39,9546,user9546,Instagram,Bebida Alcoólica,Rock,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. kkkkk",Negativo,"-0,9787327582"
40,8648,user8648,Twitter,Bebida Alcoólica,Pop,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 9 minutos pra nada. 😡 #Fail 😂,Negativo,"-0,7205123454"
41,5564,user5564,Twitter,Bebida Alcoólica,Pop,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 8 minutos pra nada. 😡 #Fail kkkkk,Negativo,"-0,9746122565"
42,7613,user7613,Instagram,Bebida Alcoólica,Eletrônico,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais. 🤔,Negativo,"-0,988195352"
43,7126,user7126,Instagram,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 5 minutos pra nada. 😡 #Fail,Negativo,"-0,9815696916"
44,797,user797,Twitter,Bebida Alcoólica,Hip-Hop/Rap,neutro,Passei pelo estande de Bebida Alcoólica hoje no festival.,Neutro,"0,06619179901"
45,3323,user3323,Instagram,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 12 minutos pra nada. 😡 #Fail top,Negativo,"-0,9651536737"
46,5522,user5522,Twitter,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais. 🤔,Negativo,"-0,988195352"
47,255,user255,Twitter,Bebida Alcoólica,Hip-Hop/Rap,neutro,Passei pelo estande de Bebida Alcoólica hoje no festival. kkkkk,Neutro,"0,05711996928"
48,1249,user1249,Twitter,Bebida Alcoólica,Música Brasileira,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 6 minutos pra nada. 😡 #Fail top,Negativo,"-0,9673225116"
49,2027,user2027,Twitter,Bebida Alcoólica,Música Brasileira,neutro,Vi que Bebida Alcoólica é um dos patrocinadores este ano.,Neutro,"0,008517658338"
50,9948,user9948,Twitter,Bebida Alcoólica,Pop,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
51,8575,user8575,Twitter,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 13 minutos pra nada. 😡 #Fail kkkkk,Negativo,"-0,9743802287"
52,9589,user9589,Instagram,Bebida Alcoólica,Pop,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 11 minutos pra nada. 😡 #Fail 😂,Negativo,"-0,7212632373"
53,7123,user7123,Instagram,Bebida Alcoólica,Pop,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 7 minutos pra nada. 😡 #Fail top,Negativo,"-0,9669811511"
54,7519,user7519,Instagram,Bebida Alcoólica,Música Brasileira,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
55,7045,user7045,Twitter,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 7 minutos pra nada. 😡 #Fail kkkkk,Negativo,"-0,9740742496"
56,4790,user4790,Twitter,Bebida Alcoólica,Música Brasileira,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. top",Negativo,"-0,6307896078"
57,5288,user5288,Twitter,Bebida Alcoólica,Música Brasileira,neutro,Passei pelo estande de Bebida Alcoólica hoje no festival. 😂,Positivo,"0,6364131663"
58,4805,user4805,Instagram,Bebida Alcoólica,Música Brasileira,neutro,Alguém sabe o q tá rolando na ativação de Bebida Alcoólica?,Neutro,"-0,05113834329"
59,1595,user1595,Twitter,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 16 minutos pra nada. 😡 #Fail aff,Negativo,"-0,9869588423"
60,599,user599,Instagram,Bebida Alcoólica,Pop,neutro,Alguém sabe o q tá rolando na ativação de Bebida Alcoólica?,Neutro,"-0,05113834329"
61,4466,user4466,Twitter,Bebida Alcoólica,Eletrônico,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
62,1818,user1818,Instagram,Bebida Alcoólica,Pop,neutro,Vi que Bebida Alcoólica é um dos patrocinadores este ano.,Neutro,"0,008517658338"
63,464,user464,Twitter,Bebida Alcoólica,Eletrônico,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
64,5751,user5751,Twitter,Bebida Alcoólica,Música Brasileira,neutro,Passei pelo estande de Bebida Alcoólica hoje no festival.,Neutro,"0,06619179901"
65,6333,user6333,Instagram,Bebida Alcoólica,Pop,neutro,Passei pelo estande de Bebida Alcoólica hoje no festival. 😂,Positivo,"0,6364131663"
66,2323,user2323,Instagram,Bebida Alcoólica,Rock,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 2 minutos pra nada. 😡 #Fail 😂,Negativo,"-0,7285265401"
67,1111,user1111,Twitter,Bebida Alcoólica,Eletrônico,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo.",Negativo,"-0,9854284986"
68,4133,user4133,Twitter,Bebida Alcoólica,Pop,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. 🤔",Negativo,"-0,9780252534"
69,2738,user2738,Twitter,Bebida Alcoólica,Pop,neutro,Passei pelo estande de Bebida Alcoólica hoje no festival.,Neutro,"0,06619179901"
70,4527,user4527,Twitter,Bebida Alcoólica,Hip-Hop/Rap,neutro,Vi q Bebida Alcoólica é um dos patrocinadores este ano. 🤡,Neutro,"-0,07624204829"
71,8358,user8358,Instagram,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. top",Negativo,"-0,6307896078"
72,5214,user5214,Twitter,Bebida Alcoólica,Pop,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 29 minutos pra nada. 😡 #Fail 🤡,Negativo,"-0,979123679"
73,6592,user6592,Twitter,Bebida Alcoólica,Hip-Hop/Rap,neutro,Passei pelo estande de Bebida Alcoólica hoje no festival. 🤡,Neutro,"0,03620481864"
74,2912,user2912,Twitter,Bebida Alcoólica,Rock,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo.",Negativo,"-0,9854284986"
75,9325,user9325,Twitter,Bebida Alcoólica,Rock,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 18 minutos pra nada. 😡 #Fail,Negativo,"-0,9816122646"
76,3530,user3530,Twitter,Bebida Alcoólica,Eletrônico,neutro,Alguém sabe o q tá rolando na ativação de Bebida Alcoólica? aff,Negativo,"-0,9805174824"
77,7216,user7216,Instagram,Bebida Alcoólica,Eletrônico,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais. kkkkk,Negativo,"-0,9869790231"
78,8731,user8731,Instagram,Bebida Alcoólica,Música Brasileira,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 18 minutos pra nada. 😡 #Fail,Negativo,"-0,9816122646"
79,9990,user9990,Twitter,Bebida Alcoólica,Rock,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. aff",Negativo,"-0,9888447174"
80,3384,user3384,Twitter,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 15 minutos pra nada. 😡 #Fail,Negativo,"-0,9819548782"
81,2175,user2175,Instagram,Bebida Alcoólica,Pop,neutro,Vi q Bebida Alcoólica é um dos patrocinadores este ano.,Neutro,"0,00925495103"
82,6834,user6834,Twitter,Bebida Alcoólica,Rock,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
83,9875,user9875,Instagram,Bebida Alcoólica,Música Brasileira,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
84,3372,user3372,Instagram,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 30 minutos pra nada. 😡 #Fail top,Negativo,"-0,9703065939"
85,9631,user9631,Twitter,Bebida Alcoólica,Música Brasileira,elogio,Que organização incrível no espaço de Bebida Alcoólica. Atendimento nota 10/10. ✨,Positivo,"0,9890081924"
86,4763,user4763,Twitter,Bebida Alcoólica,Rock,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 6 minutos pra nada. 😡 #Fail 🤡,Negativo,"-0,9794770502"
87,887,user887,Instagram,Bebida Alcoólica,Pop,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais. 🤔,Negativo,"-0,988195352"
88,8284,user8284,Twitter,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 12 minutos pra nada. 😡 #Fail,Negativo,"-0,9815386916"
89,9463,user9463,Instagram,Bebida Alcoólica,Rock,elogio,Simplesmente amei o brinde que ganhei de Bebida Alcoólica! Já quero o próximo festival. kkkkk,Positivo,"0,9875149978"
90,3983,user3983,Twitter,Bebida Alcoólica,Rock,neutro,Vi que Bebida Alcoólica é um dos patrocinadores este ano. aff,Negativo,"-0,987586621"
91,1831,user1831,Instagram,Bebida Alcoólica,Hip-Hop/Rap,neutro,Vi que Bebida Alcoólica é um dos patrocinadores este ano. kkkkk,Neutro,"0,005995161831"
92,2870,user2870,Twitter,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 16 minutos pra nada. 😡 #Fail,Negativo,"-0,9814797351"
93,9003,user9003,Instagram,Bebida Alcoólica,Pop,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
94,7628,user7628,Instagram,Bebida Alcoólica,Pop,neutro,Alguém sabe o que tá rolando na ativação de Bebida Alcoólica?,Neutro,"-0,03725210205"
95,3280,user3280,Instagram,Bebida Alcoólica,Música Brasileira,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. top",Negativo,"-0,6307896078"
96,9592,user9592,Twitter,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. top",Negativo,"-0,6307896078"
97,3424,user3424,Instagram,Bebida Alcoólica,Música Brasileira,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. kkkkk",Negativo,"-0,9787327582"
98,6648,user6648,Instagram,Bebida Alcoólica,Eletrônico,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
99,4554,user4554,Instagram,Bebida Alcoólica,Rock,neutro,Vi que Bebida Alcoólica é um dos patrocinadores este ano.,Neutro,"0,008517658338"
100,202,user202,Instagram,Bebida Alcoólica,Música Brasileira,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. aff",Negativo,"-0,9888447174"
101,7300,user7300,Instagram,Bebida Alcoólica,Pop,neutro,Passei pelo estande de Bebida Alcoólica hoje no festival.,Neutro,"0,06619179901"
102,4377,user4377,Twitter,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 9 minutos pra nada. 😡 #Fail kkkkk,Negativo,"-0,9745079661"
103,3543,user3543,Instagram,Bebida Alcoólica,Eletrônico,neutro,Vi que Bebida Alcoólica é um dos patrocinadores este ano.,Neutro,"0,008517658338"
104,6581,user6581,Instagram,Bebida Alcoólica,Rock,neutro,Vi que Bebida Alcoólica é um dos patrocinadores este ano. 🤔,Neutro,"0,008024929091"
105,8595,user8595,Twitter,Bebida Alcoólica,Pop,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais. 🤔,Negativo,"-0,988195352"
106,1703,user1703,Instagram,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 13 minutos pra nada. 😡 #Fail 🤔,Negativo,"-0,9770849724"
107,1088,user1088,Twitter,Bebida Alcoólica,Eletrônico,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 3 minutos pra nada. 😡 #Fail,Negativo,"-0,9818736981"
108,499,user499,Instagram,Bebida Alcoólica,Pop,elogio,Que organização incrível no espaço de Bebida Alcoólica. Atendimento nota 10/10. ✨ aff,Positivo,"0,9134638794"
109,5018,user5018,Instagram,Bebida Alcoólica,Eletrônico,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
110,3371,user3371,Instagram,Bebida Alcoólica,Pop,elogio,Simplesmente amei o brinde que ganhei de Bebida Alcoólica! Já quero o próximo festival. top,Positivo,"0,990023916"
111,7375,user7375,Instagram,Bebida Alcoólica,Eletrônico,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
112,6270,user6270,Twitter,Bebida Alcoólica,Música Brasileira,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. top",Negativo,"-0,6307896078"
113,8754,user8754,Twitter,Bebida Alcoólica,Pop,neutro,Alguém sabe o q tá rolando na ativação de Bebida Alcoólica? 🤡,Neutro,"-0,1100734342"
114,326,user326,Twitter,Bebida Alcoólica,Pop,neutro,Passei pelo estande de Bebida Alcoólica hoje no festival. 😂,Positivo,"0,6364131663"
115,2103,user2103,Instagram,Bebida Alcoólica,Hip-Hop/Rap,neutro,Passei pelo estande de Bebida Alcoólica hoje no festival. top,Positivo,"0,9768753923"
116,7919,user7919,Twitter,Bebida Alcoólica,Eletrônico,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 5 minutos pra nada. 😡 #Fail aff,Negativo,"-0,9870275585"
117,5735,user5735,Instagram,Bebida Alcoólica,Pop,neutro,Alguém sabe o que tá rolando na ativação de Bebida Alcoólica? 🤡,Neutro,"-0,08443519659"
118,5143,user5143,Instagram,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
119,1427,user1427,Twitter,Bebida Alcoólica,Eletrônico,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. aff",Negativo,"-0,9888447174"
120,6979,user6979,Instagram,Bebida Alcoólica,Rock,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais. kkkkk,Negativo,"-0,9869790231"
121,4891,user4891,Twitter,Bebida Alcoólica,Hip-Hop/Rap,neutro,Vi que Bebida Alcoólica é um dos patrocinadores este ano.,Neutro,"0,008517658338"
122,7684,user7684,Twitter,Bebida Alcoólica,Rock,neutro,Vi que Bebida Alcoólica é um dos patrocinadores este ano.,Neutro,"0,008517658338"
123,7976,user7976,Twitter,Bebida Alcoólica,Eletrônico,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
124,2665,user2665,Twitter,Bebida Alcoólica,Rock,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo.",Negativo,"-0,9854284986"
125,3042,user3042,Instagram,Bebida Alcoólica,Música Brasileira,neutro,Passei pelo estande de Bebida Alcoólica hoje no festival. top,Positivo,"0,9768753923"
126,9164,user9164,Instagram,Bebida Alcoólica,Eletrônico,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais. top,Negativo,"-0,9887263444"
127,953,user953,Twitter,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 16 minutos pra nada. 😡 #Fail,Negativo,"-0,9814797351"
128,7365,user7365,Twitter,Bebida Alcoólica,Pop,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais. 🤔,Negativo,"-0,988195352"
129,7936,user7936,Twitter,Bebida Alcoólica,Pop,neutro,Passei pelo estande de Bebida Alcoólica hoje no festival. kkkkk,Neutro,"0,05711996928"
130,2050,user2050,Twitter,Bebida Alcoólica,Rock,neutro,Passei pelo estande de Bebida Alcoólica hoje no festival.,Neutro,"0,06619179901"
131,9281,user9281,Twitter,Bebida Alcoólica,Pop,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
132,4166,user4166,Twitter,Bebida Alcoólica,Pop,neutro,Alguém sabe o que tá rolando na ativação de Bebida Alcoólica?,Neutro,"-0,03725210205"
133,232,user232,Instagram,Bebida Alcoólica,Pop,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 14 minutos pra nada. 😡 #Fail kkkkk,Negativo,"-0,9743205621"
134,6533,user6533,Instagram,Bebida Alcoólica,Música Brasileira,neutro,Alguém sabe o que tá rolando na ativação de Bebida Alcoólica?,Neutro,"-0,03725210205"
135,9554,user9554,Twitter,Bebida Alcoólica,Rock,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. 🤔",Negativo,"-0,9780252534"
136,6770,user6770,Twitter,Bebida Alcoólica,Pop,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 38 minutos pra nada. 😡 #Fail 🤔,Negativo,"-0,9763462148"
137,7683,user7683,Instagram,Bebida Alcoólica,Eletrônico,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. top",Negativo,"-0,6307896078"
138,8325,user8325,Instagram,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 2 minutos pra nada. 😡 #Fail top,Negativo,"-0,9678962054"
139,2836,user2836,Twitter,Bebida Alcoólica,Pop,neutro,Passei pelo estande de Bebida Alcoólica hoje no festival. top,Positivo,"0,9768753923"
140,4427,user4427,Instagram,Bebida Alcoólica,Rock,neutro,Vi q Bebida Alcoólica é um dos patrocinadores este ano. 🤔,Neutro,"0,007819529623"
141,6646,user6646,Instagram,Bebida Alcoólica,Rock,neutro,Alguém sabe o que tá rolando na ativação de Bebida Alcoólica? top,Neutro,"0,03205453232"
142,7017,user7017,Twitter,Bebida Alcoólica,Música Brasileira,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais. 🤡,Negativo,"-0,9887416377"
143,8566,user8566,Instagram,Bebida Alcoólica,Música Brasileira,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 38 minutos pra nada. 😡 #Fail top,Negativo,"-0,9671480898"
144,6516,user6516,Twitter,Bebida Alcoólica,Pop,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
145,1882,user1882,Instagram,Bebida Alcoólica,Rock,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
146,6947,user6947,Instagram,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
147,8948,user8948,Twitter,Bebida Alcoólica,Música Brasileira,neutro,Alguém sabe o q tá rolando na ativação de Bebida Alcoólica?,Neutro,"-0,05113834329"
148,1364,user1364,Instagram,Bebida Alcoólica,Pop,reclamacao,Absurdo o tempo de espera na fila de Bebida Alcoólica: 8 minutos pra nada. 😡 #Fail 😂,Negativo,"-0,7295956761"
149,5097,user5097,Twitter,Bebida Alcoólica,Rock,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. kkkkk",Negativo,"-0,9787327582"
150,3353,user3353,Instagram,Bebida Alcoólica,Música Brasileira,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais.,Negativo,"-0,9880648106"
151,1581,user1581,Instagram,Bebida Alcoólica,Rock,reclamacao,"O pessoal de Bebida Alcoólica parecia perdido, atendimento péssimo. aff",Negativo,"-0,9888447174"
152,7079,user7079,Instagram,Bebida Alcoólica,Rock,neutro,Vi que Bebida Alcoólica é um dos patrocinadores este ano. 🤡,Neutro,"-0,05404761806"
153,9255,user9255,Twitter,Bebida Alcoólica,Rock,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais. 🤔,Negativo,"-0,988195352"
154,2034,user2034,Twitter,Bebida Alcoólica,Hip-Hop/Rap,reclamacao,Totalmente decepcionado com a ativação de Bebida Alcoólica. Esperava muito mais. 🤔,Negativo,"-0,988195352"
